packet_size,is_tcp,is_udp,src_ip_count,dst_ip_count,time_between_packets
104,0,1,7,5,0.0
179,1,0,48,6,1.3403511047363281
1494,1,0,48,6,0.0006518363952636719
1494,1,0,48,6,0.00022602081298828125
1178,1,0,48,6,0.00019693374633789062
66,1,0,4,44,0.06498599052429199
66,1,0,4,44,0.0008151531219482422
160,1,0,4,44,0.0035979747772216797
66,1,0,48,6,0.00025200843811035156
101,1,0,48,6,0.0002148151397705078
66,1,0,4,44,0.10669302940368652
90,1,0,48,11,0.5084600448608398
66,1,0,48,11,0.0019152164459228516
90,1,0,11,44,0.034993886947631836
54,1,0,48,11,0.00045990943908691406
66,1,0,11,44,0.0003941059112548828
54,1,0,48,11,0.00041794776916503906
66,1,0,11,44,0.0009598731994628906
54,1,0,48,11,0.0004150867462158203
320,1,0,6,44,0.9067220687866211
66,1,0,48,6,0.0010039806365966797
101,1,0,48,6,0.002029895782470703
101,1,0,48,6,0.0002181529998779297
66,1,0,6,44,0.018855810165405273
66,1,0,6,44,0.0005230903625488281
90,1,0,11,44,1.818512201309204
66,1,0,11,44,0.0002677440643310547
66,1,0,48,11,0.00014400482177734375
90,1,0,48,11,0.0016021728515625
66,1,0,48,11,0.0003399848937988281
54,1,0,11,44,0.03502202033996582
54,1,0,11,44,0.0001537799835205078
104,0,1,7,5,0.1657569408416748
119,0,1,7,3,0.8242602348327637
955,0,1,48,2,0.004721879959106445
90,1,0,11,44,0.07921004295349121
66,1,0,11,44,0.0004451274871826172
66,1,0,48,11,0.0003859996795654297
90,1,0,48,11,0.00045871734619140625
66,1,0,48,11,0.0007512569427490234
54,1,0,11,44,0.03490591049194336
54,1,0,11,44,0.0020449161529541016
100,0,1,2,3,1.5108911991119385
396,0,1,48,1,0.07445096969604492
137,0,1,2,3,0.9522957801818848
54,1,0,48,1,0.8197340965270996
66,1,0,1,44,0.02361607551574707
104,0,1,7,5,0.6910800933837891
223,1,0,6,44,2.87070894241333
66,1,0,48,6,0.0015697479248046875
101,1,0,48,6,0.0007681846618652344
101,1,0,48,6,0.0005450248718261719
66,1,0,6,44,0.02085089683532715
66,1,0,6,44,0.0008571147918701172
90,1,0,4,44,1.2034008502960205
66,1,0,4,44,0.0005691051483154297
66,1,0,4,44,0.0004050731658935547
66,1,0,48,3,0.009109973907470703
90,1,0,48,3,0.0008599758148193359
66,1,0,48,3,0.00035190582275390625
54,1,0,4,44,0.026510000228881836
104,0,1,7,5,0.8830959796905518
85,0,1,48,2,0.6606101989746094
101,0,1,7,44,0.009460926055908203
78,1,0,48,17,0.007111072540283203
74,1,0,16,44,0.025934934616088867
66,1,0,48,17,0.002193927764892578
583,1,0,48,17,0.0007791519165039062
66,1,0,16,44,0.02562570571899414
1488,1,0,16,44,0.0007171630859375
1488,1,0,16,44,0.00045299530029296875
66,1,0,48,17,0.0006029605865478516
1488,1,0,16,44,0.02582406997680664
1488,1,0,16,44,0.0006768703460693359
66,1,0,48,17,0.0008432865142822266
1305,1,0,16,44,0.023219823837280273
66,1,0,48,17,0.0007569789886474609
146,1,0,48,17,0.02961897850036621
369,1,0,16,44,0.03963017463684082
369,1,0,16,44,0.0006678104400634766
385,1,0,48,17,0.0022580623626708984
1488,1,0,16,44,0.044931888580322266
307,1,0,16,44,0.0005030632019042969
66,1,0,48,17,0.0002961158752441406
90,1,0,48,17,1.0907859802246094
66,1,0,48,17,0.0027379989624023438
90,1,0,16,44,0.025709867477416992
54,1,0,48,17,0.0008320808410644531
66,1,0,16,44,0.0025000572204589844
54,1,0,48,17,0.0005090236663818359
66,1,0,16,44,0.0006258487701416016
54,1,0,48,17,0.0003991127014160156
54,1,0,48,1,1.6897931098937988
66,1,0,1,44,0.021115779876708984
104,0,1,7,5,1.2788701057434082
78,1,0,48,17,0.8050110340118408
74,1,0,16,44,0.03510284423828125
66,1,0,48,17,0.002492189407348633
583,1,0,48,17,0.0015590190887451172
66,1,0,16,44,0.03310585021972656
